I've bought a car	kotxe bat erosi dut
that's the last straw!	hau akabua da!, hau gehiegizkoa da!
that's the last straw!	hau akabua da!, hau gehiegizkoa da!
a stray dog	kale-txakurra
in the strict sense (of the word)	hitzaren zentzu hertsian
a strict teacher	irakasle zorrotza
she was brought up very strictly	oso zorrozki hezi zuten
smoking is strictly forbidden	erabat debekatuta dago erretzea
he was struck down by cancer at the age of thirty	minbiziak eraman zuen 30 urterekin
he was struck down by cancer at the age of thirty	minbiziak eraman zuen 30 urterekin
the Gaza Strip	Gazako zerrenda
cut the pepper into thin strips	moztu piperra zerrenda mehetan
they strive to please their customers	bezeroei atsegin egiten saiatzen dira
he strives after perfection	hobezina izaten ahalegintzen da
to go for a stroll	ibilaldi bat egin
the article is ready to publish, subject to your approval	artikulua argitaratzeko prest dago, zure onespena baino ez zaio falta
he is subject to colds	hotzeria harrapatzeko joera du
means of subsistence	bizibidea, ogibidea
6 subtracted from 9 is 3	9 ken 6 berdin 3
the film has been a success	filmak arrakasta izan du
a successful actor	aktore arrakastatsua
a successful year for the enterprise	urte oparoa enpresarentzat
I was successful in passing the exam	azterketa gainditzea lortu nuen
the third successive defeat	ondoz ondoko hirugarren porrota
to bring succour to sb	norbait sorotsi
to succumb to temptation	tentazioan erori
we offer activities like canoeing and sailing and such	bela, kanoa eta antzeko jarduerak eskaintzen ditugu
dolphins don't possess a language as such	izurdeek ez dute hizkuntzarik, zentzu hertsian esanda
many animals such as polar bears are in danger of extinction	animalia asko, hartz zuria esaterako, desagertzeko arriskuan daude
dinner's ready, such as it is	afaria prest dago, horri afaria deitzerik baldin badago
we were told to get such-and-such book	halako liburua erosteko esan ziguten
there is no such person here	hemen ez dago horrelako inor
such jobs as mine	nirea bezalako lanak
I've spent such money as I had	neukan diru apurra xahutu dut
she is such a charming girl!	hain da neska xarmanta!
he's not such an idiot as he looks	ez da dirudien bezain inozoa
such were her last words	horiexek izan zituen azken hitzak
such is life!	horrelakoxea da bizitza!
we offer activities like canoeing and sailing and such	bela, kanoa eta antzeko jarduerak eskaintzen ditugu
dolphins don't possess a language as such	izurdeek ez dute hizkuntzarik, zentzu hertsian esanda
many animals such as polar bears are in danger of extinction	animalia asko, hartz zuria esaterako, desagertzeko arriskuan daude
dinner's ready, such as it is	afaria prest dago, horri afaria deitzerik baldin badago
we were told to get such-and-such book	halako liburua erosteko esan ziguten
their new CD sucks	haien CD berria oso txarra da
all of a sudden	bat-batean, tupustean
he's suffering great pain	min handiak pairatzen ari da
I hate to see animals suffering	gorroto dut animaliak sufritzen ikustea
he suffers from asthma	asma du
AIDS sufferer	hiesduna
that shirt suits you	alkandora horrek ederki ematen dizu
would it suit you to come tomorrow?	ongi datorkizu bihar etortzea?
suit yourself!	egin nahi duzuna!
that job suits you perfectly	lan hori ezin aproposagoa da zuretzat
Maria has got many suitors, but she doesn't like any of them	Mariak ezkongai asko dauzka, baina bat bera ere ez du gogoko
to summon up the courage to do sth	zerbait egiteko bihotz hartu, adorez bete
to summon up the courage to do sth	zerbait egiteko bihotz hartu, adorez bete
let's go to sun ourselves	goazen eguzkia hartzera
today is Sunday	gaur igandea da
on Sunday	igandean
on Sundays	igandeetan
last Sunday	joan den igandean; iragan igandean
next Sunday	datorren igandean; heldu den igandean
every Sunday	igandero
every other Sunday	bi igandetik behin
the Sunday before	aurreko igandean
the Sunday after next	datorren igandean ez, hurrengoan
the Sunday before last	duela bi igande
Sunday week; a week on Sunday	datorren igandean zortzi
all and sundry	denak, jende guztia
supply and demand	eskaintza eta eskaria
it supplied the army with food; it supplied food to the army	armada elikagaiz hornitzen zuen
I'm sure he'll agree	ziur nago ados egongo dela
it's sure to rain	euria egingo du, seguru
to be sure of sb	norbaitengan konfiantza izan
it sure is hot	izugarrizko beroa egiten du
surely you don't think I was responsible for this?	ez duzu bada pentsatuko ni nintzela horren erantzule!
the surface of the water	ur azala
on the surface	lehen begiratuan, lehen begi-kolpean
our school has a surfeit of teachers	gure eskolan irakasle gehiegi daude
I'm surprised (that) she accepted	harritzen nau hark onartu izanak
not surprisingly, the jury found them both guilty	espero bezala, epaimahaiak erruduntzat jo zituen biak
the lake is surrounded with/by trees	lakua zuhaitzez inguratuta dago
to survive an accident	istriputik bizirik atera
she is susceptible to ill health	oso gaixobera da
he is susceptible to pneumonia	pneumonia erraz harrapatzen du
I suspect (that) she might be lying	gezurretan ari ote den susmoa dut
he is suspected of the theft	lapurretaren susmagarritzat jotzen dute
the suspected killer	ustezko hiltzailea
he has a suspected broken arm	beso bat hautsita izan dezake
most of my salary gets swallowed up by the rent	nire soldataren zatirik handiena alokairuan joaten zait
most of my salary gets swallowed up by the rent	nire soldataren zatirik handiena alokairuan joaten zait
the beaches were swarming with tourists	hondartzak turistaz gainezka zeuden
the beaches were swarming with tourists	hondartzak turistaz gainezka zeuden
a swath of cloud	laino-zerrenda
a swath of cloth	oihal-zerrenda
you have sworn to tell the truth	egia esango duzula zin egin duzu
I swear (that) I'll never leave you	zin dagizut ez zaitudala inoiz utziko
to have a swim	igeri egin, bainu bat hartu
I sympathize with him	erruki diot
you have my deepest sympathy	atsekabean lagun
his column is syndicated all over the country	haren zutabea herrialde osoko egunkarietan argitaratzen da
do you mind if I tag along with you tonight?	axola zaizue gaur gauean zuekin ateratzen banaiz?
do you mind if I tag along with you tonight?	axola zaizue gaur gauean zuekin ateratzen banaiz?
he's taking me out to the opera	operara gonbidatu nau
I never took to him	ez nuen inoiz begiko izan
he took to drink	edanari eman zion
she has taken to calling us at all hours	une oro deitzen hasi zaigu
to take sb up on an offer	norbaiten eskaintza onartu
she has taken up the oboe	oboea ikasten hasi da
I'd like to take up the point you raised earlier	arestian aipatu duzun puntuari heldu nahi nioke
he's taking me out to the opera	operara gonbidatu nau
I never took to him	ez nuen inoiz begiko izan
he took to drink	edanari eman zion
she has taken to calling us at all hours	une oro deitzen hasi zaigu
to take sb up on an offer	norbaiten eskaintza onartu
she has taken up the oboe	oboea ikasten hasi da
I'd like to take up the point you raised earlier	arestian aipatu duzun puntuari heldu nahi nioke
it's yours for the taking	zuretzat, nahi baduzu
to talk sb into doing sth	norbait konbentzitu zerbait egiteko
to talk sb out of doing sth	norbaiti zerbait egiteko asmoa kendu
to talk sb into doing sth	norbait konbentzitu zerbait egiteko
to talk sb out of doing sth	norbaiti zerbait egiteko asmoa kendu
to keep a tally (of sth)	kontatu; zenbat d(ir)en jakin
her refusal to answer was tantamount to an admission of guilt	haren erantzunik eza errua onartzearen pareko izan zen
to take sb to task	norbaiti errieta egin
the ice tasted of mint	izotzak menda-zaporea zuen
it tastes sweet	gozoa da
a tax on tobacco	tabakoaren gaineko zerga
the questions did not tax me	galderak erantzuteko ez nuen ahalegin berezirik egin behar izan
he teaches English to law students	ingelesa irakasten die zuzenbideko ikasleei
I'll teach you how to do it	nik erakutsiko dizut nola egin
she teaches at our local school	irakasle da gure herriko eskolan
a football team	futbol-taldea
to burst into tears	negarrez hasi; negarrari eman
you've got a wrong telephone number	okerreko telefono-zenbakia daukazu
you've got a wrong telephone number	okerreko telefono-zenbakia daukazu
to have a temperature	sukarra izan
I was tempted to take the day off	eguna libre hartzeko tentazioa izan nuen
tennis match	tenis-partida
tennis player	tenislaria
tennis ball	tenis-pilota
lawn tennis	belar gaineko tenisa
tennis shoes	tenis-oinetakoak; tenisak
table tennis	mahai-tenisa; ping-ponga
she termed it a total failure	erabateko porrota iritzi zion
to be at the end of one's tether	pazientzia galtzeko zorian egon
he's faster than me	ni baino azkarragoa da
more than 60	60tik gora
it tastes better than it looks	dirudien baino zapore hobea du
I'd rather die than go to prison	espetxera joan baino nahiago dut hil
she thanked us for coming	eskerrak eman zizkigun etortzeagatik
let's be thankful we got there in time	eskerrak garaiz iritsi ginen!
I shall always be grateful to her for her advice	beti eskertuko diot emandako aholkua
thanks to you, I finished the work	hiri esker lana bukatu dinat
they left without a word of thanks	eskerrik eman gabe alde egin zuten
thanks to you, I finished the work	hiri esker lana bukatu dinat
that man	gizon hori
I prefer that one	nahiago dut hori
who's that man at the window?	nor da leihoan dagoen gizon hura?
at that time	garai hartan
what's that?	zer da hori?
who's that?	nor da hori?
this building is taller than that	eraikin hau hura baino garaiagoa da
the man that you saw	ikusi zenuen gizona
the books that we bought	guk erositako liburuak
the film that he appears in	bera agertzen den filma
I'm not that stupid	ez naiz hain tuntuna
it's about that long	honenbestekoa bada luzeran
she said (that) she understood	ulertu zuela esan zuen
I didn't know (that) you were coming	ez nekien etortzekoa zinenik
he recommended that I phone you	zuri deitzea gomendatu zidan
the boy	mutila
the boys	mutilak
the house on the mountain	mendiko etxea
February the seventh	otsailaren zazpia
Alexander the Great	Alexandro Handia
the Queen	Erregina
the Nile	Nilo (ibaia)
the unemployed	langabetuak
what? you saw the Julia Roberts?	zer? Julia Roberts berbera ikusi duzula?
the Agirres	Agirretarrak
to sell sth by the metre	zerbait metroka saldu
the sooner the better	zenbat eta lehenago, hobe
I stayed at their place	haien etxean geratu nintzen
they're waiting for their cousin	beren lehengusuaren zain daude
they washed their hair	ilea garbitu zuten
this house is theirs	etxe hau haiena da
our car hit theirs	gure autoak haiena jo zuen
they came with one of their friends	beren lagun batekin etorri ziren
he has two sons, do you know them?	bi seme ditu, ezagutzen dituzu?
tell them the news	kontaiezu albistea
I'm going with them	haiekin joango naiz
these flowers are for them	lore hauek haientzat dira
that'll be them	haiek izango dira
we're not as wealthy as them	ez gara haiek bezain aberatsak
social themes	gai sozialak
they only think of themselves	bere buruarengan baizik ez dute pentsatzen
they bought themselves a new car	auto berria erosi zuten
they were by themselves	bakarrik zeuden
until then	ordura arte
from then on(wards)	orduz geroztik; ordutik aurrera
turn right, then left	biratu eskuinetara, eta gero ezkerretara
she's very busy at work and then she's got problems with her son	oso lanpetuta dabil lanean, eta gainera arazoak ditu semearekin
that decision was taken by the then president	garai hartan presidente zenak hartu zuen erabaki hori
there's someone at the door	norbait dago atean
there are two plates on the table	mahaian bi plater daude
has there been an accident?	istripu bat gertatu da?
is there any room for me?	badago lekurik niretzat?
I'm going there next week	hara noa datorren astean
it's there, right in front of you!	hortxe dago, zure muturren aurrean!
hello, is Bob there please?	kaixo, Bob hor dago?
there, that's enough!	tira, nahikoa da!
whose are these books?	norenak dira liburu hauek?
these are my parents	hauek dira nire gurasoak
they are coming, too	haiek ere etorriko dira
they are beautiful	politak dira
they cut my water off	ura moztu didate
they say John is rich	John aberatsa omen da
by the second day of the battle, he was in the thick of the action	batailaren bigarren egunerako, borrokan bete-betean murgilduta zegoen
by the second day of the battle, he was in the thick of the action	batailaren bigarren egunerako, borrokan bete-betean murgilduta zegoen
I'm thinking of staying here	hemen geratzeko asmoa dut
he never thinks about other people	ez ditu inoiz ingurukoak aintzakotzat hartzen
can anybody think of a way to raise money?	inori bururatzen al zaio dirua biltzeko modurik?
