 A certain	 léi 
Blue sheep tick	 dibé biya' dootł'izhí 
Deer tick	 bįįh biya' 
Dog tick	 łééchąą'í biya' 
Sheep tick	 dibe biya'
To tickle oneself	 'ádíshwozh 
To start to tickle him	 bi'niishhóósh
To tidy it up	 hasht'eeshłééh
To have it tied around one's waist	 'ákásíszaaz 
To tie a bow in it	 yistsǫsgo be'eshtł'ó 
To tie a knot	 yiishshash 
To tie a knot in the end of it	 bílátahgi yiishshash 
To tie a knot in it	 be'eshtł'ó 
To tie him to it	 bíhéshtł'ó 
To tie it	 be'eshtł'ó 
To tie it around oneself	 'ákászis 
To tie it to him	 bíheshtł'ó 
To tie it to it	 dah hashtł'ó 
To tie it to a tree	 tsin bąąh dah hashtł'ó 
To tie it up with the forelegs and hind legs drawn together	 bicháninish'aah 
To tie oneself to it	 bí'ádiishtł'ó 
To tie them together	 'ahą́ą́h dishhan 
To tie them together	 'ahíhéshtł'ó 
To untie oneself	 'ák'e'esht'áád
To be tight	 bééhídéezdon 
To be tight	 bił naaldloosh 
To be tight	 bił hatsoh 
To be tight on him	 bik'inaazdon 
To be tight with it	 doo baa yishdlee' da 
To become tight	 bihonitih 
To get tight	 bił honiidoii 
To get tight	 dits'ǫǫd 
To get tight	 'ahinitih 
To get tight	 binitih 
To hold it tight	 yíníshdon
To tighten it	 'iisgéés 
To tighten it	 dists'ǫǫd 
To tighten them	 bił 'ada'asgéés
Tightly	 'ahineestihgo 
To weave it tightly	 'ahinishtih
To tilt it	 diishk'ąąh
A long time	 'as'ah 
A long time ago	 'ałk'idą́ą́' 
At one time	 łah 
At this time	 kohgo 
At this time next year	 kónááhoot'éhé 
At the same time	 t'áá 'ahąąh 
At times	 łahda 
Before its time	 t'áadoo 'áajį' 'iiłkaahí 
For a short time	 t'óó kónígháníjį' 
In olden times	 'ałk'idą́ą́' 
Just about the time when	 k'adę́ę + lágo 
Quite a long time ago	 'ałk'idídą́ą́' 
Some other time	 'át'ah 
To this point in time	 kojį' 
To be just in time for it	 beeshnééh 
To be making pretty good time	 bich'į' hooldoh 
To be nearly time for an event	 bílátah dah hashzhiizh 
To be on time for it	 beeshnééh 
To be the third time for it	 bił táadi 'aleeh 
To be time for it	 bílátah dahashzhiizh 
To have a good time	 honeeni béé'íldah 
To have a good time with it	 bee ná'áshdįįh 
To have a nice time together	 bił 'ahee ná'áshdįįh 
To have a hard time	 bich'į' nahwii'ná 
To have time with one's work	 naanish bita' haleeh 
To make pretty good time	 bich'į' hodildóóh 
To not be on time for it	 bilááhgóó 'e'elkeed 
To spend time	 bee hodina' 
To take time out	 'áhodiiszééh 
To use it a little at a time	 bił ni'nists'iih 
That time is it	 díkwíígóóshą' 'oolkił?
A tiny amount	 t'áá kóhoníshéíígo 
To tip it over	 naa'iishne' 
To tip it to a slanted position	 diishk'ąąh 
To tip it	 naa'iismáás 
To tip over in it	 bił náhideelts'ííd 
Finger tip	 'álałátah 
Its tip	 bílátah 
Tips of the toes	 'akélátah 
Toe tips	 'akélátah
To put up a tipi	 'adistsééh
On one's tiptoes	 bikéłání bee 
To go about on tiptoes	 na'iyiists'i' 
To walk along on tiptoes	 'iyeests'ih
To get sick and tired	 'ádahodeeshłaah 
To get tired from being in one position too long	 doo da'ashdįįh da 
To tire out on him	 łį́į́' yąąh ch'éeh dighááh
To fix a flat tire	 chidí bikee' 'ánáshdlééh
Up to this point in time	 kojį' 
Up to now	 kojį' 
To some point	 háajį'shį́į́
Horned toad	 na'ashǫ́'ii dich'ízhii
Black tobacco	 nát'oh łizhiní 
Big tobacco	 nát'ostsoh 
Sheep tobacco	 dibé nát'oh 
Plug tobacco	 nát'oh ntł'izí 
Chewing tobacco	 nát'oh yit'aałí 
The joints of the toes	 'akee' 'ahądadit'ánígóó 
Big toe	 'akétsoh 
Fourth toe	 'akee' náhást'éíyí 
Upper joint of the big toe	 'akéwos 
Whorls of the toes	 'akee' hada'niists'ee'ígóó
Toenail clippers	 késhgaan bee higéshí 
Under the tip of the toenail	 'akéshgąąt'ah
Together with it	 booshk'iizh ńt'í'go 
To get together	 'áłah yiidleeh 
To be a get together	 'áłah 'aleeh 
To bring them together	 'áłah 'áshłééh 
To get together	 'ahaa niit'aash 
To get back together	 'ahéédiit'aash 
To get back together with him	 bił 'ahéédiisht'aash 
To get back together with them	 bił 'ahéédiishkááh 
To move together (establish a joint residence	 'ahidahii'nééh 
To flow together	 'ahidiilį́ 
To run together	 'ahibidiikee' 
To run together	 'ahideelk'id 
To tie them together	 'ahíhéshtł'ó
Inside toilet	 bikáá' dah ná'nídaahí 
Where is the toilet	 háadish yah 'ańdajikah?
Tip of the tongue	 'atsólátah 
Under the tongue	 'atsoo' biyaadę́ę́' 
Wagon tongue	 łį́į́' bita'góó ní'áhígíí 
To stick out his tongue	 bitsoo' hadzisih 
To stick out one's tongue	 sitsoo' haashgééd 
To stick out one's tongue at him	 sitsoo' bich'į' haashgééd
Me too	 shídó' 
My little sister too	 shideezhídó'
It's too heavy	 doo shóníłdáás 
It's too long	 doo shóníłnééz 
It's too wide	 doo shóníłtéél 
It's too far	 doo shónízáád 
Too much	 'áde 
Grubbing tool	 bee haldehí 
Tool shed	 bee na'anishí bighan
Crown of the tooth	 'awoo' bik'ą́ą́h 
Eyetooth	 'awózhah 
Hollow tooth	 'awoo' bii' hoodzánígíí 
Lower teeth	 'awoo' 'ayaadę́ę́'ígíí 
Missing tooth	 'awóshk'al 
Tooth gap	 'awóshk'al 
Upper teeth	 'awoo' 'akáá'dę́ę́'ígíí 
Wisdom teeth	 'awooshtł'ágí 
To come in	 biwoo' hanisé
To have a toothache	 biwoo' bił honeesgai
Toothpick dispenser	 hawók'iz bee na'atsií bee sikánígíí
From the top of the hand	 'ála' biniit'aadę́ę́' 
The top of the foot	 'akee' bikáá'dę́ę́' 
The topside of the hand	 'ála' bikáá'dóó 
Top of the head	 'atsiit'áád 
To pile on top of one another	 'ałk'inéiigoh 
To put them on top of each other	 'ałk'ininishnííł
To topple over asleep	 naa'i'eshháásh 
To topple over one after another	 naa'ahiigeeh 
To toss a noose or loop over it	 łoh bąąh ninishne' 
To toss it a line	 yíníishłeeh 
To toss it down to him: bich'į' 'adaashdeeł	 bich'į' 'adah 'adaash'aad etc 
To toss it up into the air	 yáá'iishne' 
To toss it out to him: bich'į' ch'íníshdeeł	 etc 
To toss one's cookies	 náshkwi 
To toss them down to him one after another: bich'į' 'adah 'adahashdeeł	 etc 
To toss them out to him one after another: bich'į' ch'éhéshdeeł	 etc 
To come tottering inside	 yah 'adisdzééh 
To go tottering along	 deesdzah 
To go tottering away	 yóó' 'adisdzééh 
To touch him	 bídíshnih 
To touch it	 bidinishnííh 
To touch the ground with one's foot	 ni' nikidinis'éés 
To touch it accidentally	 bídeeshchííd 
To touch it accidentally	 bídeesh'nééh 
To accidentally touch him while in flight	 bídeet'ááh 
To touch oneself	 'ádidinishchííd
To be very touchy about it	 baa nishchį' 
To be touchy	 'adishah
To be towing it back	 náásdį́į́s 
To tow it around	 tádísdzį́į́s naasdzį́į́s 
To tow it as far as	 ninisdzį́į́s 
To tow it away and get rid of it	 yóó' 'iisdzį́į́s 
To tow it back	 nánísdzį́į́s 
To tow it back to him	 baa nánísdzį́į́s 
To tow it to safety	 yisdásdzį́į́s 
To tow it to town	 kįįh yisdzį́į́s 
To tow it up	 haasdzį́į́s 
To start to tow it along	 disdzį́į́s 
Toward its underside	 biyaajigo 
Curving toward each other	 'ałch'į' háázhah 
Toward one from nearby	 koshdę́ę́' 
Bath towel	 bee'ádít'oodí ntsaaígíí 
Dish towel	 łeets'aa' bee yit'oodí 
Face towel	 bee'ádít'oodí yázhí
Small town	 kin dah shijaa' 
Large town	 kin haal'á 
Antitoxin	 k'aasdá bee yigą́
Toy car	 daane'é chidí be'elyaaígíí 
Toy rabbit	 daane'é gah be'elyaaígíí 
Toy train	 daane'é kǫ́' na'ałbąąsii be'elyaaígíí 
Toy wagon	 tsinaabąąs yázhí
To trace it	 naashkaah 
To trace it	 be'eshłééh 
To have trachoma	 shináziz bii' diwozh
To track it and catch up with it	 béshkaah 
To track it around in a circle	 'ahééníshkááh 
To track it around it	 bináshkááh 
To track it down	 bééníshkááh 
To track it into it	 biih yishkááh 
To track to the water	 taah yishkááh 
To track into town	 kįįh yishkááh 
To start off tracking it	 dah diishkááh 
To track it up	 haashkááh 
To start to track it	 dishkááh
Hollow tracks	 késdzis 
His tracks lead around about	 nabikéé' 
Their tracks converge	 'ahibidiikéé' 
Their tracks cross each other	 'ałnábikéé' 
Their tracks diverge	 'ałts'ábíkéé' 
His tracks lead along in broken segments	 bideekéé' 
His tracks lead up	 habikéé' 
His tracks lead around it	 binábíkéé' 
His tracks lead across	 tsé'naa nabikéé' 
In his tracks	 bikék'ehgóó
To be quite tractable	 t'áá bohónéedzą́
To carry on trade with each other	 bił 'ahaa na'iishniih
To trade with him	 baa na'iishniih 
Their diverging trails	 'ałts'ábítiin 
Their converging trails	 'ahibidiitiin 
Criss-crossing traíls	 'ałnáda'ooztiin 
Their overlapping trails leading up	 'ałnáhabitiin 
Its trail leading up	 habitiin 
His circular trail	 'ahéébítiin 
His trail leading back	 'anábítiin 
His trail leading out	 ch'íbítiin 
His trail leading about	 nabiztiin 
His trail leading away	 yóó' 'abitiin 
His trail leading around it	 binábítiin 
His trail leading underneath	 yaabitiin 
Its trail leading back	 'anábiiztiin 
His trail leads across	 tsé'naa nabitiin
To trail it away into the distance and disappear	 yóó' 'iishkááh 
To set off on its trail	 dah diishkááh 
To trail him into it	 biih yishkááh 
To trail him to the water	 taah yishkááh 
To trail him into town	 kįįh yishkááh 
To trail it around in a circle	 'ahééníshkááh 
To trail it as far as	 to trail it to ninishkááh 
To trail it down	 bíníshkááh 
To trail it out	 ch'íníshkááh 
To trail it up	 haashkááh 
To trail off 	 yóó' 'ahosiilts'įįh 
To start along on a trail	 dishkááh 
Trailer home	 hooghan naadzį́zí 
Horse trailer	 łį́į́' bee naagéhé
To undergo training	 'íhoosh'aah
To trample it out	 habé'és'éés 
To trample one another	 'ałk'ineiikai
To translate for him	 bá 'ata' hashne'
To be transparent white	 bighádzígai 
To be gray and transparent	 bighádzíbá 
To be transparent red	 bighájíchxii' 
To be transparent yellow	 bighádzítso
Beaver trap	 chaa' bee wódleehé 
Bird trap	 tsídii bee wódleehé 
Coyote trap	 mą'ii bee wódleehé 
Mousetrap	 na'ats'ǫǫsí bee wódleehé
To trap it	 yiishłoh 
To trap game in a pit	 chák'ehgo naashzheeh 
To trap it	 bidadi'nishtł'in 
To trap him	 tsístł'anishchééh 
To trap them	 tsístł'anishkaad
Trashpile	 ts'iilzéítah 
It's trash	 doósh níłt'éii! 
Pile of trash accumulated in a stream	 diz 
Trash can	 ts'iilzéí biih dahakaahígíí 
Trash yard caretaker	 ts'iilzéí yaa 'áhályání
Tray of hearts	 tá'ígíí góobas 
Tray of diamonds	 tá'ígíí 'óola 
Tray of spades	 tá'ígíí 'asbáala 
Tray of clubs	 tá'ígíí báasdo
To treat him with kindness	 baa jiinishba' 
To treat him to it	 bee baa jiinishba' 
To treat oneself	 'azee' 'ádąąh 'áshnééh
To give him a smoke treatment	 biyah 'adiishk'ą́ą́h 
To make a treaty with him or them	 bił 'ahadi'nisht'aah
To wave one's finger	 bich'į' shíla' n'diishtįįh 
To wave one's hand or arms	 dah ndishniih 
To have earwax	 bijééht'iizh
In another way	 łahgo 'át'éego 
In his way	 bich'ą́ą́h 
In his own way	 bíjík'ehgo 
In that way	 t'áá 'éí k'ehgo 
Make way!	 'akóóh! 
That's the way it is	 'ákót'é 
Which way háá góne'? háajigo	 háajigo lá? 
To be a way out	 ch'íhonít'i' 
To make it that way	 'ákóshłééh 
To sit in his way	 bich'ą́ą́h sédá 
To stand in his way	 bich'ą́ą́h sézį́ 
We brothers and sisters together	 t'ááła' haiijé'ígíí
To be wealthy	 'asht'į́ 
To become wealthy	 'asht'įįh 
To become a wealthy property owner	 'asht'įįh 
To get wealthy in it	 yisht'į́ 
To become a wealthy property owner	 yódí yisht'į́
Edged weapon	 deení 
His weapon	 bideezla' 
Anti-aircraft weapons	 bee'eldǫǫh chidí naat'a'í bee dawóldonígíí
To be half worn away	 'ałníí'góó yizhash 
To be wearing them	 bizéédéeyį́ 
To be worn out	 haastih 
To begin to show wear	 díníchééh 
To wear it out	 'iishsháásh 
To wear through	 bigházháásh 
To go weaving along	 'aneeshtł'ish 
To weave	 'ashtł'ó 
To weave	 na'atł'o' 
To weave from side to side	 bił haabaał 
To weave it	 yishtł'ó 
To be weaving along on it	 yishtł'óół 
To weave it tightly	 'ahinishtih 
To start to weave	 'i'niishtł'óóh 
To start to weave it	 bi'niishtł'óóh
To give wedding presents	 'iishheh
Next week	 damóo náá'ásdlį́į'go 
Per week	 t'ááłáhádi damóo ná'ádleehjį'
To weep over it	 baa yishcha 
To weigh it	 dah hidiishłeeh 
To weigh oneself	 'ádiishdleeh 
To weigh the same	 'aheeníildáás 
To weigh on their minds	 yíní bighą́
To be equal in weight	 'aheeníildáás 
To be equally light in weight	 'aheeníilzólí 
To be light in weight	 'áníszólí 
To be the same in weight	 'aheeníildáás 
To put on weight	 nishk'ah 
To start gaining weight	 bi'níilk'ááh 
Dead tree	 tsin bisgą' 
On a tree	 tsinbąąh 
To climb a tree	 tsin bąąh haash'nééh 
An extended treeless area	 'adzoogai 
Saddle tree	 łį́į́' biyéél bidááhdę́ę́' háá'áhígíí 
To tremble the hand	-ndishniih 
To start to tremble	 hadishchííd 
"To ""tremble-run"""	 'adisdíís
To be running a trench	 'eeshgoł
No trespassing in here	 kóne' doo na'adáa da
To stand trial	 baa hwiinít'įįh
There is tribulation	 ti'hoo'nííh
Tributary to it	 bidiidlį́
To trick him into coming along	 neesh'ah 
To trick him into	 biih nósh'ááh 
To trick him into entering the water	 taah nósh'ááh 
To trickle around in a circle	 'ahééníłts'ą' 
To trickle around it	 binásts'ą' 
To trickle downward	 hadááłts'ą' 
To trickle out	 ch'íníłts'ą' 
To trickle up out	 hááłts'ą' 
To trickle away	 'ííłts'ą' 
To trickle in	 yah 'ííłts'ą' 
To trickle into it	 biih yíłts'ą'
To trim it	 béstseeł
To trip him	 bijáátah jish'áád 
To trip him	 bijáátah ni'shíísh 
To trip him	 bijáátah nishkaad 
To trip him with one's foot	 bijáátah dinishtaał 
To trip him with one's hand	 bijáátah dinishchííd 
To trip on it	 bi'ądiishtaał 
To trip on	 yiishtał
To have triplets	 tá'í yishchí
To come trotting up out one after another	 hahaldlóósh 
To keep right on trotting	 k'éldlóósh 
To trot into the water	 taah yishtł'ééh 
To trot in- to town	 kįįh yishtł'ééh 
To be trouble-free	 doo bihodiit'i' da 
To be troubled by ít	 bee bich'į' 'anáhóót'i' 
To get him into trouble	 bihodiisht'ééh 
To get oneself into trouble	 'ádihodiisht'ééh 
To give him a lot of trouble	 bich'į' mą' 'ádíshchí 
To put him to a lot of trouble	 bich'į́' mą' 'ádíshchí 
without trouble	 doo 'át'éhégóó 
Chicken trough	 naa'ahóóhai yii' da'ayánígíí 
Horse trough	 łį́į́' yii' da'adlánígíí 
Pig trough	 bisóodi yii' da'ayánígíí 
Sheep trough	 dibé yii' da'a'aałígíí 
Trouser leg	 tł'aajį'éé' bijáád 
Women's trousers	 'asdzání bitł'aajį'éé'
Trunk	 tsits'aa' ntsaaígíí 
Trunk	 'azhi' 
From the side of the trunk	 'ááłk'iizdę́ę́'
To be untrustworthy	 doo ba'jóolíí' 'át'ée da
To be tried out	 bíhonitááh 
To try different dishes	 bitaa'ashą' 
To try	 ch'ééh 'ásht'į́ 
To try in vain to do it	 ch'ééh 'ásh'į́ 
To try it for size	 'ádíneesh'ąąh 
To try it on	 'ádíneesh'ąąh 
To try it	 nabíníshtaah 
To try out	 na'íníshtaah 
Tuberculosis sanatorium	 jéí'ádįįh bá hooghan
Wool tufts	 'aghaa' daníjool
To play tug-o-war with him	 tł'óół bił 'ałghanishyé
To tumble around	 naajooł 
Tumbleweed bug	 ch'il deeníní bich'osh
To be turbid	 tááchąą' 
To be turgid	 tááchįį' 
Turkey down	 tązhiits'os
To be in the process of turning back in- to	 nááshdleeł 
To be sitting in line one behind another waiting one's turn	 'ałkéé' niidá 
To be turning around and around on a horse	 łį́į́' bił náhoogááł 
To be turning around and around	 náhoo'oł 
To be turning around and around in a sitting position	 náheestsił 
To be turning it around rapidly	 nááshbał 
To be turning over and over	 náheeshjįsh 
To be turning over and over	 náhoolghał 
To become his turn	 baa hoolzhíísh 
To start to turn one's eyes in order to look	 haashhaał 
To take turns 'ałnááhiit'ash	 'ałnááhiikah 
To turn a deaf ear to him	 doo bá yínísts'ą́ą' da 
To turn a somersault	 'átsą́ 'iishtłeeh 
To turn around	 náhástsáád 
To turn around floating	 náhá'eeł 
To turn around in a circle	 yináyoozǫ́ǫ́s 
